Video title,Views,Average view duration,Ad impressions,Impressions,Impressions click-through rate (%),CPM (USD),RPM (USD),Estimated revenue (USD)
All it Gives,54,0:03:47,62,286,9.09,9.177,5.796,0.313
Addiction and Art:  Spotlight on Dopamine,53,0:02:36,19,663,2.71,2.632,0.547,0.029
Silent Crescendo,53,0:02:15,28,152,8.55,6.25,1.962,0.104
Don't Miss These Films In March,50,0:00:22,20,1066,2.16,2.4,0.54,0.027
"Etude in B Minor, No. 10 Op. 25  - Chopin",49,0:01:08,5,6400,0.59,2.2,0.122,0.006
Net Zero Speaks with Hu Jiaojiao,48,0:04:57,25,451,5.99,4.96,1.417,0.068
'Taking Root' Trailer,47,0:00:10,0,622,0.96,,0.064,0.003
Retain,47,0:02:46,5,296,9.46,0.4,0.021,0.001
Net Zero Speaks with Udit Singhal,46,0:02:55,23,389,7.71,0.957,0.283,0.013
Living in Denial,46,0:03:26,17,407,7.86,1.529,0.304,0.014
'Web of Polarization' Short,46,0:00:14,0,231,0.43,,0.109,0.005
Yukon Kings,46,0:04:10,31,204,6.86,3.871,1.435,0.066
'The Promise of Blockchain Technology' Short,45,0:00:09,0,310,0,,0.111,0.005
Net Zero Speaks With Sam Fankhauser,43,0:04:35,29,340,7.06,3.828,1.419,0.061
Net Zero Speaks With Susan Chomba,42,0:04:38,13,386,5.96,2.154,0.381,0.016
'Take a Walk on the Wildside' Short,41,0:00:12,0,417,4.56,,0.049,0.002
Dear Mrs. President,41,0:01:57,17,298,6.71,1.059,0.244,0.01
Net Zero Speaks With Dr. Adrian Fernandez,41,0:04:38,18,887,3.16,6.833,1.634,0.067
"Bach, Beethoven, Hindemith, and Vieuxtemps: Viola Solo and String Quartet",41,0:00:45,18,215,4.65,3.611,0.683,0.028
Net Zero Speaks With Katie Worth,40,0:05:47,14,906,3.42,3.071,0.6,0.024
Addiction: The Impact on Family,39,0:02:13,7,199,7.54,3.286,0.41,0.016
Esperanza y Futuro,39,0:06:12,0,398,7.54,,0,0
Dreaming in Green,39,0:03:26,37,210,9.05,3.649,1.897,0.074
Trois Ballades de François Villon - Debussy,37,0:04:22,32,310,7.1,1.156,0.541,0.02
Net Zero Speaks With Rep. Sam Onuigbo,36,0:05:05,6,369,7.05,1.667,0.167,0.006
Net Zero Speaks with Justin Jeong,34,0:06:24,7,408,6.37,0.714,0.088,0.003
Reflections,33,0:01:47,8,239,9.21,1,0.121,0.004
'Fish Tale' Short,33,0:00:11,0,237,1.27,,0.121,0.004
'Ciclo de Cambio' Short,33,0:00:12,0,192,0,,0.091,0.003
Fox Tales: Episode 1 Summer Night,32,0:02:36,3,200,6,1.333,0.063,0.002
R.V,31,0:08:37,22,268,10.07,3.773,1.452,0.045
Ruth & Nick: A Confectionery Tale,31,0:04:02,16,237,8.02,3.75,1.065,0.033
Book Creator Writing Challenge,31,0:00:45,4,80,3.75,28,1.968,0.061
Coughing Up Flowers,31,0:00:28,0,277,3.25,,0,0
Net Zero Speaks With Manuel Diaz,30,0:03:09,21,669,3.29,6.571,2.533,0.076
What Do You Know About Mechanical Trees?,30,0:02:15,8,339,7.08,3.5,0.5,0.015
Is Democracy in a Global Crisis?,30,0:00:37,19,192,9.38,1.526,0.533,0.016
THE ART OF HEALING,29,0:04:47,18,185,9.19,0.611,0.207,0.006
'38th Parallel' Short,28,0:00:09,0,401,0.25,,0.071,0.002
'I Am Fundi' Trailer,28,0:00:08,0,884,1.58,,0.036,0.001
Welcome to Planet Classroom,27,0:00:35,30,1123,0.53,9.133,5.593,0.151
A Broken Star,27,0:04:00,5,231,7.79,0.2,0,0
'Everything You Need to Know About Long Covid-19' Trailer,27,0:00:21,0,2033,0.74,,0.037,0.001
Hero,26,0:02:37,20,254,2.76,16.7,7.077,0.184
Save the Bees Save the Planet,25,0:00:39,4,203,3.94,3.75,0.32,0.008
Facing the College Mental Health Crisis,24,0:00:23,2,268,7.46,9,0.417,0.01
Tuning the Student Mind,24,0:02:28,40,107,6.54,3.625,3.333,0.08
Net Zero Speaks With Chris Dede,23,0:01:04,7,183,3.28,3.286,0.565,0.013
Your Move,23,0:07:16,9,245,9.39,0.889,0.174,0.004
Net Zero Speaks With UnaMay Gordon,23,0:02:54,12,241,4.56,6.833,1.957,0.045
Growing Peace in the Middle East,22,0:03:07,13,150,2.67,5.923,1.909,0.042
Space Bears the Movie,22,0:12:09,22,124,4.03,3.136,1.773,0.039
What is the Role of COP27's Youth Envoy?,21,0:02:04,0,251,7.17,,0,0
I'm a Child,21,0:01:43,15,112,5.36,5.133,2,0.042
"Telemann: Trio Sonata in a minor, I. Andante",21,0:01:06,10,275,4.73,2,0.524,0.011
Danglin' Pangolin,21,0:00:38,6,104,4.81,0.833,0.19,0.004
The Dhust,21,0:03:55,7,218,7.8,1,0.19,0.004
On life right now: Manasi Garg,20,0:01:02,12,180,5,4.917,1.65,0.033
Net Zero Speaks With Crispin Hemson,20,0:04:10,6,347,3.75,2.167,0.35,0.007
Men Helping Women,19,0:00:38,17,123,4.07,3.118,1.526,0.029
I Am Odd,19,0:01:37,0,134,8.21,,0,0
My Name is Tama-chan,19,0:04:00,7,328,5.79,1.143,0.211,0.004
What Do You Know About Microgrids?,18,0:01:39,4,202,6.93,0.75,0.111,0.002
Faculty Concert Benjamin Hochman,18,0:03:28,7,286,1.4,1.857,0.389,0.007
Faculty Concert Brahms Trio,17,0:01:04,6,140,0,6,1.176,0.02
Peace Boat: Against The Tide - A Journey for Climate Hope,17,0:05:59,0,275,1.45,,0,0
Rainshadow,17,0:07:35,6,74,1.35,7.5,2.059,0.035
Schubertiade: Im Frühling,17,0:05:02,10,606,2.48,3.5,1.118,0.019
It’s Not Fair!,16,0:02:55,6,159,9.43,0.667,0.125,0.002
An Interview with a Fig Tree,16,0:01:18,7,122,8.2,5.714,1.375,0.022
"On life right now: Isabella Ramirez, 2020 National Student Poet for the Southeast",16,0:00:49,3,1292,0.93,2.333,0.25,0.004
Return to Sender,16,0:03:53,11,103,2.91,3.455,1.438,0.023
"Quintet for Winds, Op. 52",15,0:03:26,15,142,9.86,0.867,0.467,0.007
'My Superpower' Trailer,15,0:00:11,0,375,1.33,,0.067,0.001
Great White Sharks,15,0:00:48,0,94,3.19,,0,0
How to Prepare for the Next Pandemic,15,0:00:55,7,326,2.76,2,0.667,0.01
What Do You Know About the Tesla Gigafactory?,15,0:02:09,4,312,3.53,0.5,0.067,0.001
Plastic: Villain or Hero,15,0:01:15,0,117,6.84,,0,0
Nearly Half My Country Is Younger Than Me – Maynard,15,0:00:51,4,575,2.09,4.5,0.667,0.01
The Rise of Machine Learning,15,0:00:39,6,269,2.23,2.333,0.533,0.008
Girls Should Stay At Home,14,0:00:40,6,150,8,1,0.214,0.003
Hot Diggity,14,0:00:39,2,73,2.74,1.5,0.143,0.002
PIVOT: Paying It Forward,14,0:01:03,12,90,5.56,39.583,18.643,0.261
Summer Days,14,0:03:29,3,138,10.14,0.333,0.071,0.001
Luke’s Black Lives Matter Poem,14,0:00:35,8,353,3.12,3.125,1,0.014
Net Zero Speaks With Alexander Leicht,14,0:02:50,10,310,2.26,3.1,1.214,0.017
Out of Plastic,13,0:01:18,9,46,4.35,2.889,1.077,0.014
Quaranteened,13,0:04:12,4,187,1.6,0.75,0.769,0.01
What Would It Look Like,13,0:08:52,12,122,2.46,15.667,8,0.104
Broken Doll,13,0:02:29,0,112,7.14,,0,0
The Boxing Project,13,0:02:35,15,123,4.88,8.867,5.615,0.073
